,B cells,"B cells, pro",Basophils,DC,Endothelial cells,Eosinophils,Epithelial cells,Fibroblasts,ILC,Macrophages,Mast cells,Microglia,Monocytes,Neutrophils,NK cells,NKT,Stem cells,Stromal cells,T cells,Tgd
0,0,0,0,0,0.000536193,0,0.001072386,0.000536193,0,0.001072386,0,0.001072386,0.013941019,0.981769437,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.001123596,0,0.002247191,0.01011236,0.986516854,0,0,0,0,0,0
2,0.006694561,0.00251046,0,0.011715481,0.00083682,0,0.00334728,0.00167364,0.00167364,0.024267782,0.00083682,0.19665272,0.00251046,0.737238494,0,0.00167364,0.00083682,0.00083682,0.006694561,0
3,0,0,0.017223911,0,0,0,0,0,0,0.006079027,0,0.027355623,0,0.949341439,0,0,0,0,0,0
4,0,0,0,0.009876543,0,0.001234568,0,0,0,0.011111111,0,0.724691358,0.004938272,0.245679012,0,0.001234568,0,0,0.001234568,0
5,0,0,0,0.012804097,0,0,0,0,0.00128041,0.327784891,0,0,0.513444302,0.1446863,0,0,0,0,0,0
6,0,0,0,0.001858736,0,0,0,0,0,0.068773234,0,0.094795539,0.369888476,0.462825279,0,0.001858736,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0.006160164,0,0.792607803,0,0.201232033,0,0,0,0,0,0
8,0.005509642,0,0.008264463,0,0,0,0,0,0.08815427,0,0,0,0,0.022038567,0.236914601,0.123966942,0,0,0.449035813,0.066115702
9,0,0,0,0,0,0,0,0,0,0.071661238,0,0.586319218,0.003257329,0.338762215,0,0,0,0,0,0
10,0,0,0,0.522088353,0,0,0,0,0,0.040160643,0,0,0.421686747,0.016064257,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0.01,0,0.25,0,0.17,0.02,0.55,0,0,0,0,0,0
12,0.974358974,0,0,0,0,0,0,0,0,0.012820513,0,0,0,0.012820513,0,0,0,0,0,0